Datum,Aantal klikken,Vertoningen,CTR,Positie
2026-06-17,1,6,16.67%,23.7
2026-06-18,0,8,0%,29.5
2026-06-19,1,23,4.35%,18
2026-06-20,0,28,0%,22.2
2026-06-21,1,30,3.33%,28.6
2026-06-22,0,30,0%,26.4
2026-06-23,0,35,0%,29
2026-06-24,0,31,0%,28
2026-06-25,0,20,0%,37.8
2026-06-26,0,19,0%,36.2
2026-06-27,2,20,10%,49.5
2026-06-28,0,16,0%,53.2
2026-06-29,0,20,0%,41.8
2026-06-30,0,20,0%,36.8
2026-07-01,0,22,0%,39.8
2026-07-02,0,24,0%,39.6
2026-07-03,0,21,0%,38.5
2026-07-04,0,21,0%,37.2
2026-07-05,0,29,0%,35.3
2026-07-06,0,27,0%,38.1
2026-07-07,0,28,0%,30.5
2026-07-08,0,27,0%,34.2
2026-07-09,0,22,0%,34
2026-07-10,0,31,0%,28.9
2026-07-11,0,49,0%,16.5
2026-07-12,1,33,3.03%,18.4
2026-07-13,0,20,0%,12.8
2026-07-14,1,24,4.17%,12.5
2026-07-15,1,10,10%,9.6
2026-07-16,6,38,15.79%,8
2026-07-17,1,16,6.25%,9.9
2026-07-18,0,11,0%,20.7
2026-07-19,2,20,10%,21.1
2026-07-20,2,23,8.7%,18.3
2026-07-21,1,22,4.55%,11.3
2026-07-22,2,26,7.69%,16.1
2026-07-23,1,35,2.86%,12.8
2026-07-24,1,13,7.69%,14.3
2026-07-25,0,14,0%,12.6
2026-07-26,0,16,0%,17.8
2026-07-27,0,12,0%,24.9
2026-07-28,1,22,4.55%,17.2
2026-07-29,1,10,10%,20.1
2026-07-30,0,17,0%,20
2026-07-31,0,22,0%,13.6
2026-08-01,1,37,2.7%,9.1
2026-08-02,0,14,0%,22.6
2026-08-03,0,17,0%,17.6
2026-08-04,0,12,0%,18.8
2026-08-05,0,12,0%,26
2026-08-06,1,16,6.25%,9.6
2026-08-07,0,10,0%,12.8
2026-08-08,0,18,0%,12.4
2026-08-09,0,11,0%,14.3
2026-08-10,0,21,0%,9.6
2026-08-11,1,11,9.09%,14.1
2026-08-12,1,30,3.33%,11.3
2026-08-13,0,22,0%,13.7
2026-08-14,1,46,2.17%,34.4
2026-08-15,2,339,0.59%,59.1
2026-08-16,0,444,0%,57
2026-08-17,0,428,0%,56.7
2026-08-18,0,506,0%,54.6
2026-08-19,1,513,0.19%,56.4
2026-08-20,2,490,0.41%,56.3
2026-08-21,0,496,0%,55.7
2026-08-22,0,518,0%,54.9
2026-08-23,0,534,0%,55.2
2026-08-24,0,502,0%,56.5
2026-08-25,1,537,0.19%,54.9
2026-08-26,0,622,0%,54.6
2026-08-27,0,586,0%,52.9
2026-08-28,0,516,0%,54.7
2026-08-29,0,510,0%,54.1
2026-08-30,0,551,0%,53.6
2026-08-31,0,506,0%,53.4
2026-09-01,0,547,0%,52.7
2026-09-02,1,614,0.16%,54.3
2026-09-03,1,551,0.18%,52.5
2026-09-04,1,531,0.19%,52.9
2026-09-05,1,494,0.2%,52.2
2026-09-06,2,505,0.4%,52.6
