Land,Aantal klikken,Vertoningen,CTR,Positie
Nederland,30,12483,0.24%,52.65
België,12,278,4.32%,8.12
India,1,62,1.61%,56.19
Roemenië,1,14,7.14%,57.86
Hongarije,1,8,12.5%,40.12
Brazilië,0,58,0%,57.97
Duitsland,0,46,0%,26.2
Verenigde Staten,0,40,0%,16.15
Filipijnen,0,35,0%,58.49
Kenia,0,31,0%,23.84
Rusland,0,31,0%,59.23
Turkije,0,31,0%,61.32
Egypte,0,28,0%,64.04
Frankrijk,0,24,0%,36.5
Oekraïne,0,24,0%,62.21
Verenigd Koninkrijk,0,22,0%,46.45
Bangladesh,0,20,0%,51.85
Mexico,0,20,0%,54.45
Chili,0,20,0%,56.7
Spanje,0,20,0%,57.2
Pakistan,0,16,0%,55.5
Argentinië,0,15,0%,51.6
Saudi-Arabië,0,15,0%,57.33
Indonesië,0,15,0%,61.13
Venezuela,0,14,0%,59.64
Italië,0,13,0%,56.38
Marokko,0,12,0%,53.33
Vietnam,0,12,0%,62.92
Australië,0,9,0%,14
Thailand,0,8,0%,46.25
Algerije,0,8,0%,60.5
Colombia,0,8,0%,65.5
Kazachstan,0,7,0%,53.57
Bolivia,0,7,0%,69
Griekenland,0,6,0%,53.17
Verenigde Arabische Emiraten,0,6,0%,55.67
Zuid-Afrika,0,6,0%,58.17
Peru,0,6,0%,65.17
Portugal,0,6,0%,70.67
Canada,0,5,0%,21.8
Polen,0,5,0%,51.8
Libanon,0,5,0%,52
Irak,0,5,0%,58.4
Dominicaanse Republiek,0,4,0%,41
Tunesië,0,4,0%,45.25
Maleisië,0,4,0%,50.5
Uruguay,0,4,0%,55
Tanzania,0,4,0%,58.25
Ecuador,0,4,0%,64.25
Costa Rica,0,4,0%,64.5
Zwitserland,0,3,0%,4.67
Israël,0,3,0%,47.33
Belarus,0,3,0%,51.33
Ghana,0,3,0%,52
Oman,0,3,0%,55
Panama,0,3,0%,55.67
Paraguay,0,3,0%,70.33
Oeganda,0,2,0%,4.5
Macedonië,0,2,0%,34
Koeweit,0,2,0%,46
Myanmar (Birma),0,2,0%,47.5
Jordanië,0,2,0%,48.5
Jamaica,0,2,0%,53.5
Moldavië,0,2,0%,55.5
Albanië,0,2,0%,57
Nicaragua,0,2,0%,63.5
Syrië,0,2,0%,66.5
Azerbeidzjan,0,2,0%,68
Armenië,0,2,0%,69.5
Litouwen,0,1,0%,1
Nigeria,0,1,0%,4
Oostenrijk,0,1,0%,8
Curaçao (Nederlandse Antillen),0,1,0%,8
Luxemburg,0,1,0%,10
Noorwegen,0,1,0%,20
Finland,0,1,0%,21
Suriname,0,1,0%,28
Bosnië en Herzegovina,0,1,0%,31
Honduras,0,1,0%,31
Zambia,0,1,0%,34
Malta,0,1,0%,40
Letland,0,1,0%,43
St. Lucia,0,1,0%,50
Angola,0,1,0%,51
Palestina,0,1,0%,56
Bulgarije,0,1,0%,57
Libië,0,1,0%,57
Ethiopië,0,1,0%,58
Senegal,0,1,0%,59
El Salvador,0,1,0%,60
Zuid-Korea,0,1,0%,61
Ierland,0,1,0%,62
Mongolië,0,1,0%,62
Georgië,0,1,0%,65
Servië,0,1,0%,65
Haïti,0,1,0%,70
Nepal,0,1,0%,72
Somalië,0,1,0%,75
